Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
165,John Jenkins,2012,23.00,75.25,76.25,80.50,98.00,36.50,134.50,30.50,128.50,212.00,7.10,9.00,9.00,11.36,3.37
166,Jared Cunningham,2012,24.00,75.50,77.00,78.50,98.00,35.50,138.17,29.58,132.62,188.00,3.60,8.25,9.00,11.33,3.30
167,Tony Wroten,2012,25.00,76.75,78.00,81.00,101.00,35.50,136.50,30.00,131.00,203.00,5.20,8.00,9.00,10.75,3.24
168,Miles Plumlee,2012,26.00,82.50,83.75,84.75,105.50,40.50,146.00,34.00,139.50,252.00,11.40,9.25,9.00,10.64,3.36
169,Arnett Moultrie,2012,27.00,81.50,82.75,86.25,106.50,37.50,144.00,33.50,140.00,233.00,7.70,9.25,9.25,11.32,3.22
170,Perry Jones,2012,28.00,82.25,83.25,85.75,107.00,38.50,145.50,33.00,140.00,234.00,4.60,9.25,9.50,11.31,3.19
171,Marquis Teague,2012,29.00,73.00,74.00,79.25,96.50,40.50,137.00,32.50,129.00,180.00,6.30,8.25,7.75,10.65,3.19
172,Bradley Beal,2012,3.00,75.25,76.75,80.00,100.00,39.00,139.00,33.00,133.00,202.00,6.00,8.50,9.00,10.95,3.28
173,Festus Ezeli,2012,30.00,81.75,83.50,89.75,108.00,33.50,141.50,34.00,142.00,264.00,5.50,9.00,10.75,12.35,3.29
174,Jeff Taylor,2012,31.00,78.00,79.25,78.25,101.50,40.00,141.50,33.50,135.00,213.00,4.20,8.25,9.75,10.87,3.29
175,Tomas Satoransky,2012,32.00,78.50,79.50,79.25,100.00,35.50,138.17,29.58,132.62,201.00,5.20,8.50,9.50,11.33,3.30
176,Bernard James,2012,33.00,80.75,82.00,87.00,108.50,32.50,141.00,30.00,138.50,230.00,5.00,9.00,9.25,11.84,3.40
177,Jae Crowder,2012,34.00,76.75,78.50,81.25,99.50,34.50,134.00,31.00,130.50,241.00,9.00,9.50,10.50,11.45,3.37
178,Draymond Green,2012,35.00,77.75,79.50,85.25,105.00,33.00,138.00,28.00,133.00,236.00,11.30,9.00,9.50,11.01,3.40
179,Orlando Johnson,2012,36.00,75.75,77.25,83.25,99.00,39.50,138.50,32.00,131.00,224.00,7.00,9.00,9.50,10.98,3.25
180,Quincy Acy,2012,37.00,78.50,79.75,86.75,106.50,37.00,143.50,32.00,138.50,224.00,7.10,9.50,11.00,10.48,3.28
